Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-07-09,7.140085824511267,7.3906151516871015,7.05657604878599,7.348860263824463,1116800,0.0,0.0
1986-07-10,7.390621106284005,7.432376027788434,7.1400915772574285,7.3071112632751465,595600,0.0,0.0
1986-07-11,7.265352170142902,7.307107067672458,7.056577682495117,7.056577682495117,800400,0.0,0.0
1986-07-14,7.098332992414148,7.098332992414148,6.76429379277113,6.847803592681885,738000,0.0,0.0
1986-07-15,6.8060525348351435,6.8060525348351435,6.2214836054628,6.63903284072876,2059200,0.0,0.0
1986-07-16,6.63903131308379,7.014825538352684,6.63903131308379,6.764296054840088,1160400,0.0,0.0
1986-07-17,6.7642958646903,6.847805690180304,6.680786039200298,6.806050777435303,1046000,0.0,0.0
1986-07-18,6.806048692726507,6.91043594261495,6.680783992860375,6.847803592681885,1420000,0.0,0.0
1986-07-21,6.847803592681885,6.889558492637262,6.806048692726507,6.847803592681885,322800,0.0,0.0
1986-07-22,6.847805690180304,6.868683146552805,6.806050777435303,6.806050777435303,390800,0.0,0.0
1986-07-23,6.847807534733174,6.847807534733174,6.680787838764072,6.722542762756348,1004000,0.0,0.0
1986-07-24,6.722542687781952,6.764297611308548,6.555522993675568,6.63903284072876,1071600,0.0,0.0
1986-07-25,6.639032914771796,6.764297686748622,6.597277990779521,6.722542762756348,688400,0.0,0.0
1986-07-28,6.722541140921322,6.84780588267762,6.659908770043174,6.764296054840088,414800,0.0,0.0
1986-07-29,6.680786039200298,6.806050777435303,6.680786039200298,6.806050777435303,278400,0.0,0.0
1986-07-30,6.722541140921322,6.764296054840089,6.5972763991650245,6.764296054840088,459200,0.0,0.0
1986-07-31,6.764297686748622,6.847807534733174,6.680787838764072,6.722542762756348,1213600,0.0,0.0
1986-08-01,6.680787404378256,6.764297246932983,6.513767719268799,6.513767719268799,1118000,0.0,0.0
1986-08-04,6.5555226405461635,6.5555226405461635,6.367625494798025,6.513767719268799,892400,0.0,0.0
1986-08-05,6.513765896067899,6.513765896067899,6.346746257707184,6.388501167297363,868800,0.0,0.0
1986-08-06,6.388502039321481,6.430256954611164,6.096217632293701,6.096217632293701,550400,0.0,0.0
1986-08-07,6.0127087493441005,6.054463671214545,5.428139843157868,5.595159530639648,7560000,0.0,0.0
1986-08-08,5.636914750220071,5.970954142825704,5.595159826144366,5.92919921875,2802000,0.0,0.0
1986-08-11,6.012707801714336,6.096217632293701,5.92919797113497,6.096217632293701,1428000,0.0,0.0
1986-08-12,6.096215489705404,6.304989992777506,6.096215489705404,6.263235092163086,1155200,0.0,0.0
1986-08-13,6.304992841905163,6.743419496474727,6.263237922422348,6.472012519836426,865600,0.0,0.0
1986-08-14,6.513765598598279,6.555520506281601,6.2632361524983455,6.34674596786499,762000,0.0,0.0
1986-08-15,6.346744893391928,6.346744893391928,6.137970390319825,6.263235092163086,654400,0.0,0.0
1986-08-18,6.304992841905163,6.5972772782848725,6.179728083456716,6.472012519836426,606800,0.0,0.0
1986-08-19,6.513765896067899,6.513765896067899,6.346746257707184,6.388501167297363,2744000,0.0,0.0
1986-08-20,6.388500875548313,6.388500875548313,6.2632361524983455,6.34674596786499,500000,0.0,0.0
1986-08-21,6.346744234198765,6.388499130476389,6.304989337921143,6.304989337921143,353200,0.0,0.0
1986-08-22,6.346744893391928,6.388499794006348,6.263235092163086,6.263235092163086,286000,0.0,0.0
1986-08-25,6.346745748777647,6.346745748777647,6.096216311325898,6.1797261238098145,766400,0.0,0.0
1986-08-26,6.137970390319825,6.263235092163086,6.137970390319825,6.263235092163086,408800,0.0,0.0
1986-08-27,6.263238631638905,6.263238631638905,6.137973859006126,6.2214837074279785,686400,0.0,0.0
1986-08-28,6.221479766222895,6.221479766222895,6.09621507294324,6.137969970703125,286000,0.0,0.0
1986-08-29,6.096217632293701,6.179727462873067,6.054462717004018,6.096217632293701,1128800,0.0,0.0
1986-09-02,6.137973761558532,6.137973761558532,5.803934373174394,5.845689296722412,916800,0.0,0.0
1986-09-03,5.845689640178548,5.970954418182373,5.803934714177272,5.970954418182373,684400,0.0,0.0
1986-09-04,6.0127090863733486,6.2214837074279785,5.929199237951496,6.2214837074279785,576800,0.0,0.0
1986-09-05,6.22148080335723,6.3049906127982664,6.012706279754639,6.012706279754639,961600,0.0,0.0
1986-09-08,6.096218838010516,6.096218838010516,5.762179449626378,5.845689296722412,1793200,0.0,0.0
1986-09-09,5.803933817407359,5.845688736957052,5.678669058758279,5.762178897857666,388000,0.0,0.0
1986-09-10,5.762177362161524,5.762177362161524,5.6786675453186035,5.6786675453186035,802400,0.0,0.0
1986-09-11,5.720423743480772,5.720423743480772,5.177609811617634,5.302874565124512,6240000,0.0,0.0
1986-09-12,5.26112114796873,5.302876077714513,5.052346499239812,5.094101428985596,2066800,0.0,0.0
1986-09-15,5.094101428985596,5.177611288477163,4.968836639748245,5.094101428985596,1746800,0.0,0.0
1986-09-16,5.0523447068799445,5.094099621812837,4.885325047148376,4.96883487701416,1547200,0.0,0.0
