Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-24,2.4924552250992167,2.565051008354534,2.056880525567315,2.129476308822632,37326400,0.0,0.0
1996-01-25,2.1506503418884195,2.1778735769800392,1.9056397490987957,2.008483409881592,8926400,0.0,0.0
1996-01-26,1.996384957921812,2.0084842606970956,1.839094021843124,1.8814419507980347,3888000,0.0,0.0
1996-01-29,1.8632924019450874,1.9116896071904144,1.6939021835864432,1.7181007862091064,3508000,0.0,0.0
1996-01-30,1.7664974434035166,1.7906960385186332,1.6939016580581667,1.6939016580581665,1336800,0.0,0.0
1996-01-31,1.742299087065503,1.742299087065503,1.5729088980452457,1.6092067956924438,5098400,0.0,0.0
1996-02-01,1.6334056815034463,1.8995903110817858,1.6213063801589764,1.839093804359436,3980000,0.0,0.0
1996-02-02,1.8632923571268718,1.935888163248698,1.7785972499847413,1.8148951530456543,2717600,0.0,0.0
1996-02-05,1.8148952367289966,1.8390938398853833,1.7060015225252567,1.82699453830719,1120800,0.0,0.0
1996-02-06,1.8390935324375925,1.875391431104124,1.7846470536791148,1.851192831993103,980800,0.0,0.0
1996-02-07,1.8632926304046422,1.8632926304046422,1.7302002996614536,1.7664982080459595,1250400,0.0,0.0
1996-02-08,1.7664976017080622,1.7785969003498983,1.68180251121521,1.68180251121521,924000,0.0,0.0
1996-02-09,1.681802123785019,1.7422986030578613,1.681802123785019,1.7422986030578613,548800,0.0,0.0
1996-02-12,1.7543986479441325,1.8632923571268718,1.7513740073097386,1.8148951530456543,877600,0.0,0.0
1996-02-13,1.7664976979599518,1.8390934937665253,1.7301998000566652,1.7785969972610474,538400,0.0,0.0
1996-02-14,1.778596740961075,1.8027953360761917,1.6576037653854916,1.6939016580581665,1645600,0.0,0.0
1996-02-15,1.6939021490670585,1.7302000522613525,1.6576042458727644,1.7302000522613525,1184800,0.0,0.0
1996-02-16,1.7302000459035238,1.839093755086263,1.6818028418223063,1.8148951530456543,1216000,0.0,0.0
1996-02-20,1.8269947990775108,1.9842857420444489,1.7906968891620636,1.9358885288238525,1771200,0.0,0.0
1996-02-21,1.9358877809891788,1.9479870796203613,1.8874905864644493,1.9479870796203613,2142400,0.0,0.0
1996-02-22,1.923788869297588,1.9479874714271173,1.6576042458727644,1.7302000522613525,4717600,0.0,0.0
1996-02-23,1.7181001040187196,1.7543979935402418,1.6092064354541529,1.6576036214828491,2965600,0.0,0.0
1996-02-26,1.633405793796886,1.633405793796886,1.5608099807392466,1.5971078872680664,2172800,0.0,0.0
1996-02-27,1.5729091125251973,1.6092070151219326,1.185731484826687,1.3672209978103638,8036000,0.0,0.0
1996-02-28,1.4640157692707503,1.476115073149021,1.2099303878270664,1.258327603340149,3246400,0.0,0.0
1996-02-29,1.2462278761044896,1.3430222742485278,1.1615327777284565,1.1978306770324707,1889600,0.0,0.0
1996-03-01,1.1736318292942916,1.1978304237127304,1.0526388572020964,1.064738154411316,2236800,0.0,0.0
1996-03-04,1.0889370441436768,1.1252349456151327,1.0768377436531915,1.0889370441436768,977600,0.0,0.0
1996-03-05,1.1010366678237915,1.1010366678237915,1.076838059739752,1.1010366678237915,838400,0.0,0.0
1996-03-06,1.0995239563489438,1.1373341757318247,1.088936976764513,1.113135576248169,1104800,0.0,0.0
1996-03-07,1.1252351999282837,1.137334503153319,1.1131358967032483,1.1252351999282837,620800,0.0,0.0
1996-03-08,1.1010366007685661,1.1010366007685661,0.9679442644119263,0.9679442644119263,1096000,0.0,0.0
1996-03-11,1.0163411943536056,1.1494334936141968,0.9679439946224815,1.1494334936141968,1276800,0.0,0.0
1996-03-12,1.1494338063783542,1.1615331096033896,1.0647386838031072,1.1252351999282837,1057600,0.0,0.0
1996-03-13,1.2583271758724945,1.2583271758724945,1.1373341781924469,1.1978306770324707,2423200,0.0,0.0
1996-03-14,1.1857317165771146,1.3309233553416595,1.1857317165771146,1.2764768600463867,2293600,0.0,0.0
1996-03-15,1.3067244291305542,1.330923029670009,1.2825258285910994,1.3067244291305542,541600,0.0,0.0
1996-03-18,1.3309229951386057,1.3914194949176333,1.3188236951828003,1.3188236951828003,959200,0.0,0.0
1996-03-19,1.3551215950502167,1.3551215950502167,1.3067243952269947,1.3188236951828003,516000,0.0,0.0
1996-03-20,1.3309234004836898,1.3672213114059724,1.3067247932021682,1.3430227041244507,530400,0.0,0.0
1996-03-21,1.3430225448530229,1.5003134735295032,1.3309232426471398,1.4761148691177368,2733600,0.0,0.0
1996-03-22,1.5003135040516162,1.5971079236678496,1.5003135040516162,1.5850086212158203,2570400,0.0,0.0
1996-03-25,1.609207193382451,1.609207193382451,1.4640155669118537,1.4761148691177368,940800,0.0,0.0
1996-03-26,1.479139525629406,1.5003134893334429,1.3793204660001008,1.391419768333435,859200,0.0,0.0
1996-03-27,1.4035183843576682,1.4035183843576682,1.258326827355151,1.2825254201889038,650400,0.0,0.0
1996-03-28,1.3036996048776928,1.3551214391534978,1.270426349206404,1.3309228420257568,1160800,0.0,0.0
1996-03-29,1.3914195995415206,1.3914195995415206,1.343022396079207,1.3672209978103638,1588800,0.0,0.0
1996-04-01,1.3551220893859863,1.379320698125022,1.3551220893859863,1.3551220893859863,470400,0.0,0.0
1996-04-02,1.3793202986759423,1.4035189004070991,1.3672209978103638,1.3672209978103638,1168000,0.0,0.0
1996-04-03,1.4035189004070991,1.4035189004070991,1.3672209978103638,1.3672209978103638,1618400,0.0,0.0
1996-04-04,1.4035189004070991,1.4035189004070991,1.3672209978103638,1.3672209978103638,116800,0.0,0.0
1996-04-08,1.3188241227315023,1.3430227304880435,1.2462282994618783,1.258327603340149,611200,0.0,0.0
1996-04-09,1.2825256262984233,1.294624924659729,1.2583270295758113,1.294624924659729,110400,0.0,0.0
1996-04-10,1.2583272647857666,1.2946251666545867,1.2099300622940063,1.2099300622940063,776800,0.0,0.0
1996-04-11,1.1978306770324707,1.2341285763364849,1.1494334779604516,1.1978306770324707,247200,0.0,0.0
1996-04-12,1.1615327935469777,1.258327193009226,1.1131355938158536,1.1494334936141968,735200,0.0,0.0
1996-04-15,1.1494336594110248,1.1494336594110248,1.0405399443089278,1.0526392459869385,671200,0.0,0.0
1996-04-16,1.0647384258026773,1.1494335278551628,1.0405398252162528,1.1373342275619507,856800,0.0,0.0
1996-04-17,1.1494335465961032,1.1615328470865884,1.0526391426722208,1.0889370441436768,572800,0.0,0.0
1996-04-18,1.0647385796932824,1.125235089903128,1.0647385796932824,1.1040611267089844,719200,0.0,0.0
1996-04-19,1.101036276506341,1.1252348759899968,1.0405397777972014,1.113135576248169,844000,0.0,0.0
1996-04-22,1.1252351999282837,1.1252351999282837,1.1010365934782131,1.1252351999282837,292000,0.0,0.0
1996-04-23,1.1615326426853643,1.3309228197436467,1.1373340459627526,1.294624924659729,1136000,0.0,0.0
1996-04-24,1.3188236951828003,1.4519159946966609,1.3188236951828003,1.3188236951828003,1724800,0.0,0.0
1996-04-25,1.3067244934824715,1.3672209978103638,1.3067244934824715,1.3672209978103638,3217600,0.0,0.0
1996-04-26,1.3672209978103638,1.3793202986759423,1.3309230952136284,1.3672209978103638,1442400,0.0,0.0
1996-04-29,1.4035187800725302,1.476114579041799,1.3551215807596844,1.451915979385376,2822400,0.0,0.0
1996-04-30,1.4761148846667744,1.4761148846667744,1.391419768333435,1.391419768333435,862400,0.0,0.0
1996-05-01,1.4156180959323357,1.5124124956542049,1.403518795967102,1.403518795967102,1924000,0.0,0.0
1996-05-02,1.3914200024945396,1.4761151330811637,1.3551220893859863,1.3551220893859863,2515200,0.0,0.0
1996-05-03,1.3551216969447855,1.3793202986759423,1.343022396079207,1.3672209978103638,318400,0.0,0.0
1996-05-06,1.3551220893859863,1.379320698125022,1.3551220893859863,1.3551220893859863,568800,0.0,0.0
1996-05-07,1.358146079173821,1.3793200362812388,1.3309228420257568,1.3309228420257568,420800,0.0,0.0
1996-05-08,1.330923426609773,1.367221338244585,1.2462282994618783,1.258327603340149,502400,0.0,0.0
1996-05-09,1.2099298338095346,1.2341284304857254,1.1252347454428673,1.1615326404571533,1228800,0.0,0.0
1996-05-10,1.1615326404571533,1.1978305354714394,1.1615326404571533,1.1615326404571533,760000,0.0,0.0
1996-05-13,1.1736321284415874,1.1736321284415874,1.101036326682314,1.1373342275619507,427200,0.0,0.0
1996-05-14,1.1494334936141968,1.1736320934797588,1.1131355938158536,1.1494334936141968,825600,0.0,0.0
1996-05-15,1.1494338063783542,1.1857317160534602,1.1131358967032483,1.1252351999282837,1164000,0.0,0.0
1996-05-16,1.1252351999282837,1.1615331096033896,1.1252351999282837,1.1252351999282837,156800,0.0,0.0
1996-05-17,1.1494334936141968,1.1494334936141968,1.1252348937486347,1.1494334936141968,379200,0.0,0.0
1996-05-20,1.1494336594110248,1.1494336594110248,1.0405399443089278,1.0526392459869385,1579200,0.0,0.0
